2=version S,Active,Move,(5;0),(5;1),(5;2),(5;3),(5;4),(4;0),(4;1),(4;2),(4;3),(4;4),(3;0),(3;1),(3;2),(3;3),(3;4),(2;0),(2;1),(2;2),(2;3),(2;4),(1;0),(1;1),(1;2),(1;3),(1;4),(0;0),(0;1),(0;2),(0;3),(0;4),Total,Start,End,Trial to win
1,1,10,,,2005,,,2002,,2026,,,,2004,2003,,2026,,2002,,2022,,,2026,,2002,,,,,2004,2005,12,0;0,5;4,
2,1,10,2005,,,2022,,,2001,,,,2004,,2002,2002,,2001,,2004,,2026,2001,,2003,,2001,,2026,2026,,,14,0;0,5;4,
3,1,10,,2017,,2027,,2012,,2001,,2001,2005,,2004,,2004,,2026,3000,2005,2002,2026,,2022,,2002,,2002,2003,,2027,18,0;0,5;4,
4,1,10,2009,2008,2022,2009,,,2007,,2007,2022,2007,,2001,2004,3000,,2026,2026,,2022,2027,3000,2001,,2005,,2028,2001,,,20,0;0,5;4,
5,-1,11,2028,2028,,2004,,3000,,,2002,2004,2027,2027,2004,,2027,2001,,2026,,2022,2001,2026,,2001,3000,,2028,2028,2002,,20,0;0,5;4,
6,1,10,2010,,2006,,,2009,,,2027,,,2018,2006,2009,2026,2026,,2002,3000,2002,3000,2005,,,2008,,,2003,2003,2027,18,0;0,5;4,
7,1,10,2027,2027,,2020,,2004,2007,,3000,2007,,2022,2007,,2007,2013,,3000,2010,,2007,,2028,2007,3000,,2024,,2005,2022,20,0;0,5;4,
8,1,10,2019,2016,,2002,,3000,,2026,,2026,2008,,3000,3000,2009,,2009,,2002,,2022,,2008,,2028,,2024,2022,,2003,18,0;0,5;4,
9,1,10,2006,,3000,,,2022,,3000,2018,2017,2002,,2026,,3000,2004,2002,,,,,2003,2006,2005,,,2026,2001,,2005,17,0;0,5;4,
10,-1,11,3000,,,2015,,,2022,2019,2027,3000,2002,,,3000,,2027,2007,,2011,2007,2007,2016,3000,,,,2013,2007,2028,2004,19,0;0,5;4,
11,1,9,,2007,,,2007,,2007,,,2007,,,2007,2007,,,,2007,2007,,2007,2007,,2007,,,2007,,2007,2007,14,0;0,5;3,
12,1,9,,2007,,,2007,,2007,2007,,2007,2007,,2007,,2007,,,2007,2007,,2007,2007,,2007,,2007,,,,2007,15,5;0,0;3,
13,1,9,,,2007,,,,2007,,2007,,2007,,2007,,2007,,2007,,2007,2007,2007,,2007,,2007,,2007,,2007,,14,0;4,5;0,
14,1,9,2007,,,,2007,2007,2007,,2007,,2007,,2007,2007,2007,2007,2007,,2007,,2007,,2007,2007,,,2007,,,,16,0;3,5;1,
15,-1,11,2007,2007,,,,2007,,,2007,,,,2007,2007,,,2007,,,2007,2007,,2007,,2007,2007,2007,,,2005,14,1;1,5;4,
16,1,9,,2001,,2026,,,2004,2026,,2001,2001,2026,,2004,,2001,2001,,2001,2026,,2001,2004,,,,,2026,2001,,16,0;0,5;4,
17,1,9,,2001,2026,,,2001,,,2001,,2001,,3000,,2001,,,2026,2001,,,,2026,2004,,,2026,,2026,2026,14,0;0,5;4,
18,1,9,,,2004,2001,,,2001,,,2001,2026,,,,2001,,3000,2026,2001,,2001,,2001,2001,,,2026,2004,,2001,15,0;0,5;4,
